Date,Value,Return,Weights
0,9786.762442187326,-0.0213237557812673,"[('YPA', -5.666231158532058e-06, 8.239488666781467e-05), ('AOX', 0.0005673587442130934, -0.01616759307745343), ('KWE', 0.005233388241246224, -0.005698005698005577), ('VSR', 0.004206681306337843, -0.01808782358164809), ('VWR', 0.018499820370179252, 0.005867560771165154), ('ZNX', 0.00474908149734336, -0.04496951219512194), ('MWN', 0.0025588013284450015, -0.02866952789699574), ('MZJ', 0.0008080337079312629, -0.02168532269385646), ('VEO', 0.004040678435317274, 0.0005952380952381178), ('GJA', 0.01745279374363707, -0.003300330033003347), ('TUW', 0.004583367854808219, 0.025187803800265147), ('HBM', -6.243271687409051e-05, 0.0030303030303031006), ('WNF', 0.00015035784868815184, -0.02647058823529408), ('ABM', 0.0049523237459789034, -0.011133377866844802), ('RLR', 0.001658377249480188, -0.03252124645892356), ('GPE', 0.11010835587534808, -0.037623762376237525), ('BUL', 0.002827647694308837, -0.005502063273727726), ('PKU', 0.03653804000845343, -0.03627124583844402), ('VLK', 0.0006861861820016737, 0.00690880378997244), ('VYQ', 0.02507566161713835, -0.01992104781574339), ('EVW', 0.020549074090396687, -0.012890839275918784), ('NQW', 0.00197085250567987, -0.012189634720006474), ('PHV', 0.6210514448984504, -0.02145222311391045), ('DAI', 0.0033596998015322315, -0.03120124804992207), ('WGQ', -0.0005915111828038924, -0.019957461892945748), ('JFL', 0.01773130473167288, -0.03531504065040652), ('RLF', 0.0013270277152109813, -0.00032834838191980634), ('NFR', 0.0010188074680004342, 0.0070175438596491516), ('ZKY', 6.431562028581393e-05, -0.012264942772361214), ('STK', 0.0008431345675993271, -0.003195084485407129), ('OWG', 0.06478954856781427, -0.007402707275803753), ('YLF', 4.363864750157542e-05, -0.010470440691807484), ('CPM', 0.012642098003976117, -0.005978633735175923), ('TGI', 0.0005574009948069646, -0.0026572187776793058), ('MGW', -3.987203991552412e-05, -0.021402168173205314), ('NTR', 0.0017973221687244214, -0.025219063902543273), ('KKD', 0.0005457502465057117, -0.010616691285081163), ('JPN', 0.0006230417459652803, -0.027485441525427947), ('CGS', 0.004547371354590144, -0.014094310074821686), ('VOX', 0.0025406935911823675, 0.013768485466598653)]"
1,9940.421208428661,0.01570067396128532,"[('YPA', -5.766128272246085e-06, -0.011952823591476838), ('AOX', 0.0005682047509989899, 0.009653633227420097), ('KWE', 0.005246501253135803, 0.03581661891117478), ('VSR', 0.004216403977393261, 0.04013161184210526), ('VWR', 0.018544915762279585, 0.020000000000000018), ('ZNX', 0.004760828672527622, 0.04309656823623312), ('MWN', 0.002563767919194133, 0.016967126193001076), ('MZJ', 0.0008080268862701491, 0.014047277395967176), ('VEO', 0.00404675065556402, 0.0069403133055721085), ('GJA', 0.017484865521174307, 0.011920529801324485), ('TUW', 0.004594477320820356, 0.006896551724137937), ('HBM', -6.259565322026368e-05, -0.015105740181268963), ('WNF', 0.00015072987730266546, 0.026183282980866043), ('ABM', 0.004963384226757837, 0.009682503940554083), ('RLR', 0.0016623234657479513, 0.030686343405949928), ('GPE', 0.11037897237620944, 0.05144032921810699), ('BUL', 0.002832986949759096, 0.020470262793914302), ('PKU', 0.03661038341755547, 0.013454545454545492), ('VLK', 0.0006871047490060146, -0.0029405998823759305), ('VYQ', 0.025131284868900827, 0.050494811811464715), ('EVW', 0.02059425227041734, 0.020005557099194188), ('NQW', 0.001975636244026629, 0.01660524245310364), ('PHV', 0.6202285663278413, 0.005596063458808172), ('DAI', 0.0033678097645307298, 0.06172839506172851), ('WGQ', -0.0006020658825293912, 0.02285962310558105), ('JFL', 0.01777014981538295, -0.007637608638398714), ('RLF', 0.0013288050692716446, 0.017217795638478604), ('NFR', 0.0010214812244294458, 0.049776007964161276), ('ZKY', 6.382907210973409e-05, 0.030413717717130043), ('STK', 0.0008419426892182733, 0.026259014978734018), ('OWG', 0.06492428923740369, 0.036650330279139116), ('YLF', 4.372313137339562e-05, 0.036990096675312466), ('CPM', 0.01266520176156552, 0.025438769473476616), ('TGI', 0.0005587805641083368, -0.004440497335701504), ('MGW', -4.111840060975092e-05, -0.005491366175723775), ('NTR', 0.0018014768470042094, 0.033764525323393975), ('KKD', 0.0005456780691335109, 0.024213865820658754), ('JPN', 0.0006243119194617433, 0.027344805871009542), ('CGS', 0.004557178577340729, -0.009883515707730236), ('VOX', 0.0025465208294153004, 0.008048289738430591)]"
2,10162.52388636132,0.022343386992930807,"[('YPA', -5.867811348245896e-06, 0.002544639568894425), ('AOX', 0.0005690302770023942, 0.006131019857346934), ('KWE', 0.00525955754050382, 0.016597510373443876), ('VSR', 0.004226066930885526, 0.018659012692631), ('VWR', 0.01858978639602596, 0.04003267973856211), ('ZNX', 0.004772521940519596, 0.006885998469778107), ('MWN', 0.002568670766010921, -0.0009558567952728487), ('MZJ', 0.0008079620007383999, 0.009905414463394534), ('VEO', 0.004052696169752242, 0.02097282394643556), ('GJA', 0.017516573252005216, 0.02421465968586394), ('TUW', 0.004605529610200525, 0.038955479452054805), ('HBM', -6.275794247765538e-05, 0.039877300613497035), ('WNF', 0.00015110020315281815, 0.0039254170755643695), ('ABM', 0.004974366554993185, -0.0026761819803747667), ('RLR', 0.0016662428973040384, -0.0012499999999999935), ('GPE', 0.11064837928189074, 0.08610567514677094), ('BUL', 0.002838264357362072, 0.019517484413120057), ('PKU', 0.03668204898113342, -0.01794043774668102), ('VLK', 0.000687996213433855, 0.02798531917682515), ('VYQ', 0.025186426398253026, -0.016047940683561), ('EVW', 0.020639111307632355, 0.026150912557886156), ('NQW', 0.0019803950648751554, 0.00826883910386963), ('PHV', 0.6194119987655307, 0.016646791945940775), ('DAI', 0.0033758781398872026, 0.002527805864509462), ('WGQ', -0.0006128144803770612, 0.0061176137770075365), ('JFL', 0.01780871369813193, 0.024150743099787784), ('RLF', 0.0013305376461577709, 0.05980501425635127), ('NFR', 0.0010241465564147369, -0.0009483167377904018), ('ZKY', 6.33261665185223e-05, 0.003804354390563984), ('STK', 0.0008406774496274227, 0.007327767433479481), ('OWG', 0.06505790623086238, 0.016238437821171618), ('YLF', 4.38056038778168e-05, 0.021885569735383536), ('CPM', 0.01268801071591753, -0.028269230769230748), ('TGI', 0.0005601539397728483, 0.0133809099018732), ('MGW', -4.2394230348420596e-05, 0.006415371357441482), ('NTR', 0.0018056073216917664, 0.005938494167550395), ('KKD', 0.0005455637983478668, -0.002277593039675671), ('JPN', 0.0006255691950999292, 0.0014573238990539302), ('CGS', 0.004566901948615756, 0.019964349376114035), ('VOX', 0.0025523111444219113, -0.005738522954091739)]"
3,10187.64488496729,0.002471925172021944,"[('YPA', -5.971276224522845e-06, 0.008155415402526407), ('AOX', 0.0005698354356467199, 0.004279985305187329), ('KWE', 0.0052725577591746205, -0.013605442176870701), ('VSR', 0.004235670728799651, -0.0015522819482238041), ('VWR', 0.01863443466941526, -0.016496465043205094), ('ZNX', 0.004784161901487497, 0.0030395136778114855), ('MWN', 0.002573510297061237, 0.017395842393667912), ('MZJ', 0.0008078393001844044, 0.008702064896755212), ('VEO', 0.004058515715206832, 0.0028932394637862587), ('GJA', 0.017547919813833954, 0.01102236421725236), ('TUW', 0.004616525317522644, 0.04861969509682735), ('HBM', -6.291959260695648e-05, 0.011799410029498535), ('WNF', 0.00015146884522668463, -0.0009775171065493438), ('ABM', 0.004985271414147797, 0.004695885509839018), ('RLR', 0.0016701357837188042, 0.015132552053703473), ('GPE', 0.11091659074775352, -0.05405405405405402), ('BUL', 0.00284348034717388, -0.016219090667375684), ('PKU', 0.03675304236912841, -0.04366094263792474), ('VLK', 0.0006888607195088048, 0.009499521836149246), ('VYQ', 0.025241090001580556, -0.003870967741935484), ('EVW', 0.020683654086580107, -0.002920095566763988), ('NQW', 0.0019851292251112504, 0.007150648406253771), ('PHV', 0.6186016868433049, 0.018214543321895864), ('DAI', 0.003383905360104251, -0.001008572869389792), ('WGQ', -0.0006237565285072908, 0.004920567974131991), ('JFL', 0.017846998870221797, -0.013734128012438484), ('RLF', 0.0013322256888935705, -0.028139132509993454), ('NFR', 0.001026803584807928, 0.015662078785002292), ('ZKY', 6.280695650350994e-05, 0.020981159444944907), ('STK', 0.0008393391185319312, 0.009480651123964005), ('OWG', 0.06519040969081256, -0.011731391585760484), ('YLF', 4.388607639582696e-05, 0.01799571663004486), ('CPM', 0.012710526868327403, -0.011676231941421006), ('TGI', 0.0005615211917116174, 0.018485915492957822), ('MGW', -4.3699445279189764e-05, -0.0021882532030952613), ('NTR', 0.0018097138267404909, 0.013704406493780278), ('KKD', 0.0005454076102748092, 0.017303565721590614), ('JPN', 0.0006268136685028757, 0.01897117274867878), ('CGS', 0.004576542133182324, -0.015903530234183793), ('VOX', 0.002558064876039556, 0.007779171894604646)]"
4,10405.713537659112,0.021405207499291614,"[('YPA', -6.076518848561604e-06, 0.014610628182237793), ('AOX', 0.0005706203386366865, 0.02665416748549324), ('KWE', 0.005285502557703154, 0.05793103448275861), ('VSR', 0.004245215926369206, 0.001554695273632052), ('VWR', 0.018678862953001134, 0.005591054313099065), ('ZNX', 0.00479574914885703, -0.021212121212121165), ('MWN', 0.0025782869345831213, 0.06352056082756269), ('MZJ', 0.0008076590290299403, 0.015682117268606598), ('VEO', 0.004064210018168918, 0.03625348591210703), ('GJA', 0.01757890804462422, 0.021962395323115936), ('TUW', 0.004627465030507741, 0.026326129666011857), ('HBM', -6.308061148280136e-05, -0.020408163265306204), ('WNF', 0.0001518358222992802, 0.012720156555772896), ('ABM', 0.004996099479224823, 0.02114400178054758), ('RLR', 0.0016740023616481998, -0.004483299708585583), ('GPE', 0.11118362077051722, -0.039999999999999994), ('BUL', 0.0028486353433329454, 0.006891891891891961), ('PKU', 0.036823369175959846, 0.03056351480420251), ('VLK', 0.0006896984092298895, 0.004547176960970057), ('VYQ', 0.0252952794262445, 0.021191709844559602), ('EVW', 0.02072788345589772, 0.017305644302449377), ('NQW', 0.001989838978655629, 0.014560770156438009), ('PHV', 0.6177975758953673, 0.03584362276142882), ('DAI', 0.0033918918527044853, -0.026754164563351723), ('WGQ', -0.0006348915912694029, 0.0034625069949636576), ('JFL', 0.017885007790826364, 0.01523909616395161), ('RLF', 0.0013338694367615296, -0.004538750038880105), ('NFR', 0.001029452429212146, -0.020560747663551298), ('ZKY', 6.227149394793511e-05, 0.023679679171985372), ('STK', 0.0008379279603775474, -0.0038393384524513033), ('OWG', 0.06532180962768386, 0.008595988538681983), ('YLF', 4.39645601381486e-05, 0.0022950819672130462), ('CPM', 0.012732752192029536, -0.025630756908289972), ('TGI', 0.0005628823890548317, 0.009507346585998222), ('MGW', -4.50339634570941e-05, -0.0022248355210882265), ('NTR', 0.0018137965933232795, -0.0024958402662229088), ('KKD', 0.0005452096778730154, 0.0274212368728122), ('JPN', 0.0006280454340224419, 0.019123958727198527), ('CGS', 0.004586099787245629, -0.007813887408986055), ('VOX', 0.002563782359998245, -0.001992031872509918)]"
5,10364.992124105582,-0.00391337061184277,"[('YPA', -6.183535275975433e-06, 0.010901814173194352), ('AOX', 0.0005713850959825638, 0.009920410542446674), ('KWE', 0.005298392577486954, 0.011734028683181207), ('VSR', 0.004254703072177782, -0.010555666269968058), ('VWR', 0.018723073590313236, 0.01032565528196988), ('ZNX', 0.004807284269414853, -0.05417956656346744), ('MWN', 0.0025830010949723565, -0.0265273311897107), ('MZJ', 0.0008074214273301941, -0.0032391578189671913), ('VEO', 0.004069779793952665, -0.02524127691165552), ('GJA', 0.017609540743188146, 0.00015460729746429968), ('TUW', 0.004638349330128234, -0.020290964777947975), ('HBM', -6.324100689510652e-05, 0.002976190476190545), ('WNF', 0.00015220115293583075, -0.016425120772946854), ('ABM', 0.0050068514168937995, -0.04795117698343511), ('RLR', 0.0016778428648774352, 0.013623057869849223), ('GPE', 0.11144948319071381, -0.04563492063492072), ('BUL', 0.0028537297641453986, -0.014897329217554682), ('PKU', 0.0368930349216489, 0.027803521779425393), ('VLK', 0.0006905094224028499, -0.0067898906073180715), ('VYQ', 0.025348998371301255, 0.017149525597442768), ('EVW', 0.02077180222885867, 0.011253598534415066), ('NQW', 0.0019945245765090234, -0.0034792235005733194), ('PHV', 0.6169996119478462, 0.0015850797972631198), ('DAI', 0.003399838040306329, 0.0031120331950206803), ('WGQ', -0.0006462192450526143, 0.012024676727893724), ('JFL', 0.017922742888456116, 0.0002587991718425986), ('RLF', 0.0013354691253548749, -0.016586674253406448), ('NFR', 0.001032093208001733, -0.003339694656488563), ('ZKY', 6.171982964141549e-05, -0.00042359760212787073), ('STK', 0.0008364442344203937, -0.011977468129261846), ('OWG', 0.06545211592170444, -0.012378246753246742), ('YLF', 4.404106614764657e-05, 0.018918329516955615), ('CPM', 0.012754688632601093, 0.002979860254829493), ('TGI', 0.0005642376001637516, 0.0017123287671232511), ('MGW', -4.639770482004871e-05, -0.01627751409549904), ('NTR', 0.00181785584987445, -0.011884904086738955), ('KKD', 0.0005449701709765519, -0.0032761106014939064), ('JPN', 0.0006292645847578867, 0.009834955874961686), ('CGS', 0.004595575558574887, -0.02881689636656523), ('VOX', 0.0025694639279822146, 0.01222554890219566)]"
6,10360.066068422619,-0.00047525898948886416,"[('YPA', -6.292321669167302e-06, 0.005995754818634142), ('AOX', 0.0005721298160239534, -0.007105956874332644), ('KWE', 0.005311228452876057, -0.024484536082474164), ('VSR', 0.004264132708258568, -0.0062755253757286284), ('VWR', 0.018767068898268607, 0.02201257861635215), ('ZNX', 0.004818767843410026, 0.011456628477904974), ('MWN', 0.0025876531888663935, 0.0007431874483897887), ('MZJ', 0.0008071267308326407, 0.01404585665282537), ('VEO', 0.004075225747099016, -0.005331302361005353), ('GJA', 0.01763982066976397, -0.010975421239758863), ('TUW', 0.004649178790710293, -0.019148104728409474), ('HBM', -6.340078655038519e-05, 0.0029673590504450406), ('WNF', 0.00015256485549498068, -0.018664047151276966), ('ABM', 0.0050175278856143465, -0.014880952380952349), ('RLR', 0.0016816575243638271, -0.006442297012107056), ('GPE', 0.11171419169509696, 0.012474012474012579), ('BUL', 0.0028587640221688724, -0.006130790190735733), ('PKU', 0.03696204505292057, -0.002164111812443725), ('VLK', 0.0006912938966708509, -0.01025446259020114), ('VYQ', 0.02540225048820839, -0.01728438170299797), ('EVW', 0.02081541318390037, -0.02639751552795039), ('NQW', 0.001999186266796432, -0.0029756000793493076), ('PHV', 0.6162077417084907, -0.0023164249203928323), ('DAI', 0.0034077443406984056, 0.013960703205791085), ('WGQ', -0.0006577390781399156, -0.01126188180190122), ('JFL', 0.017960206561414196, -0.0015523932729623589), ('RLF', 0.00133702498662903, 0.0067141310300714244), ('NFR', 0.0010347260383415772, 0.011967448539971278), ('ZKY', 6.115201329413721e-05, -0.0056528768985074996), ('STK', 0.0008348881947953826, 0.010622336914121169), ('OWG', 0.06558133832485484, 0.01458804191493735), ('YLF', 4.4115605301690356e-05, -0.0022473112526084195), ('CPM', 0.01277633810835796, -0.02509988730662845), ('TGI', 0.0005655868926424928, -0.04017094017094008), ('MGW', -4.77905911648315e-05, -0.0071886535846123), ('NTR', 0.0018218918221308597, 0.003587254695083387), ('KKD', 0.0005446892563367764, -0.00600403190463671), ('JPN', 0.0006304712125740955, 0.03280018645476017), ('CGS', 0.00460497008662689, -0.007187615186140814), ('VOX', 0.0025751099076903247, 0.026620655656889286)]"
7,10330.444075430141,-0.0028592474986975144,"[('YPA', -6.4028742960172245e-06, 0.014640015999999947), ('AOX', 0.0005728546054531434, -0.0076481263640717), ('KWE', 0.005324010811280934, 0.006605019815059421), ('VSR', 0.004273505370192128, 0.0290495737290812), ('VWR', 0.018810851167575846, -0.053846153846153794), ('ZNX', 0.0048302004446537095, -0.01051779935275073), ('MWN', 0.002592243621226788, -0.003960722831916857), ('MZJ', 0.0008067751710348326, 0.009720837487537453), ('VEO', 0.00408054857152668, 0.003254211332312301), ('GJA', 0.01766975054658325, -0.007346045639262252), ('TUW', 0.004659953980034353, 0.0223107569721115), ('HBM', -6.3559958073038e-05, 0.026627218934911333), ('WNF', 0.00015292694813194555, 0.026026026026026005), ('ABM', 0.005028129535757634, 0.013478968161747578), ('RLR', 0.001685446568278884, 0.0054779206260480145), ('GPE', 0.11197775981900866, -0.0020533880903490323), ('BUL', 0.00286373852429477, 0.0076764907470870765), ('PKU', 0.03703040494428599, 0.004879812036869748), ('VLK', 0.0006920519675446244, 0.001982604246610219), ('VYQ', 0.025455039381518302, 0.014136697038146222), ('EVW', 0.02085871906514232, 0.01222753854332804), ('NQW', 0.0020038242948105943, -0.0041782729805014095), ('PHV', 0.6154219125565608, -0.005097733203704632), ('DAI', 0.0034156111669125873, 0.012748597654258032), ('WGQ', -0.0006694506905647996, 0.001567452715176584), ('JFL', 0.017997401178244277, 0.018916817828452885), ('RLF', 0.0013385372489521411, -0.008337105434732942), ('NFR', 0.001037351036206119, -0.007568590350047311), ('ZKY', 6.0568093550783026e-05, -0.013420674229110136), ('STK', 0.0008332600905833623, 0.004038004750593864), ('OWG', 0.0657094864627862, -0.0024301336573512465), ('YLF', 4.4188188314472676e-05, 0.007963747519708337), ('CPM', 0.01279770251074361, 0.022278268179907572), ('TGI', 0.0005669303333495952, -0.01780943900267151), ('MGW', -4.921254612350521e-05, 0.01285061969993476), ('NTR', 0.0018259047331723086, 0.008830950378469187), ('KKD', 0.0005443670976634869, 0.00537895154534632), ('JPN', 0.0006316654081194841, -0.026923904850660037), ('CGS', 0.0046142840026673565, 0.021904585112307404), ('VOX', 0.0025807206228953988, -0.01656662665066021)]"
8,10326.349381807137,-0.0003963715008866201,"[('YPA', -6.5151895285947095e-06, 0.001616348630192474), ('AOX', 0.0005735595693380091, 0.0021212120119386826), ('KWE', 0.005336740273278437, 0.006561679790026223), ('VSR', 0.004282821587202379, 0.02638849340288422), ('VWR', 0.018854422663131518, 0.026016260162601505), ('ZNX', 0.004841582640617016, 0.01880621422730993), ('MWN', 0.0025967727914200473, -0.014000497059067168), ('MZJ', 0.0008063669752410696, 0.010262016433332246), ('VEO', 0.004085748950680232, 0.001621827895439818), ('GJA', 0.017699333058427233, -0.008030231459612628), ('TUW', 0.004670675459433773, -0.0019485580670304252), ('HBM', -6.371852900662009e-05, -0.04610951008645537), ('WNF', 0.0001532874488016047, -0.01756097560975607), ('ABM', 0.005038657009725617, -0.009630818619582704), ('RLR', 0.0016892102220496007, 0.0005559261730041934), ('GPE', 0.1122402009487018, -0.039094650205761396), ('BUL', 0.0028686536718289667, -0.008434226635831921), ('PKU', 0.03709811989910425, -0.011330935251798607), ('VLK', 0.0006927837684320513, 0.006574328205782864), ('VYQ', 0.025507368609558337, 0.013564242454577347), ('EVW', 0.020901722582894508, -0.017331932773109154), ('NQW', 0.0020084389030546324, -0.0018381618381618132), ('PHV', 0.6146420725329012, 0.007862575298784376), ('DAI', 0.003423438927295717, -0.027190332326283945), ('WGQ', -0.0006813536939708103, 0.000417333240592629), ('JFL', 0.01803432907817003, -0.032044760935910424), ('RLF', 0.0013400061371546508, 0.008327631101771605), ('NFR', 0.0010399683163979953, -0.004289799809342224), ('ZKY', 5.9968118004186445e-05, 0.015762348178137695), ('STK', 0.0008315601658769742, 0.011178140525195092), ('OWG', 0.06583656983670265, 0.001421031262687785), ('YLF', 4.425882573928466e-05, 0.015668644090340737), ('CPM', 0.012818783704710577, -0.01264391447368425), ('TGI', 0.0005682679884093827, -0.021758839528558498), ('MGW', -5.0663495140311726e-05, -0.0009338571520577717), ('NTR', 0.0018298948034611829, -0.0008336807002917705), ('KKD', 0.0005440038556652576, -0.006797351225715964), ('JPN', 0.000632847260843557, -0.020517728453544676), ('CGS', 0.004623517929889984, -0.013987284287011736), ('VOX', 0.002586296393502436, -0.028808593749999993)]"
9,10093.077962082683,-0.022589921287713675,"[('YPA', -6.629263841896289e-06, -0.01381512537211839), ('AOX', 0.000574244811144508, -0.014464143497188865), ('KWE', 0.0053494174527158695, -0.010430247718383322), ('VSR', 0.004292081882250792, -0.00298962621854633), ('VWR', 0.01889778562440975, 0.0007923930269414869), ('ZNX', 0.004852914992527065, 0.008025682182985525), ('MWN', 0.002601241093297028, -0.025541925726768545), ('MZJ', 0.0008059023666180318, -0.017488131806757855), ('VEO', 0.004090827557675521, -0.010096199638060655), ('GJA', 0.01772857085317336, -0.015079365079365125), ('TUW', 0.004681343783891722, 0.007028504490433413), ('HBM', -6.387650681508562e-05, 0.00906344410876127), ('WNF', 0.00015364637526153938, -0.02085402184707059), ('ABM', 0.005049110942068074, -0.006714517249363259), ('RLR', 0.001692948708398998, -0.010112234692743602), ('GPE', 0.11250152832362074, -0.029978586723768668), ('BUL', 0.0028735098605710725, -0.02208807792564137), ('PKU', 0.03716519515062483, -0.028197198471893708), ('VLK', 0.0006934894306671918, -0.015979708306911745), ('VYQ', 0.025559241685098894, -0.018518518518518517), ('EVW', 0.020944426414156603, -0.03287012292891513), ('NQW', 0.0020130303312839532, -0.0166539893510549), ('PHV', 0.6138681703301978, -0.024079862218536745), ('DAI', 0.0034312280255800057, -0.011387163561076545), ('WGQ', -0.0006934477114738569, -0.013661962038517717), ('JFL', 0.018070992571526657, -0.03836048344718867), ('RLF', 0.0013414318725779454, -0.003256030301016645), ('NFR', 0.001042577992566357, -0.007659167065581625), ('ZKY', 5.9352133208731376e-05, -0.022001384652360227), ('STK', 0.0008297886598452802, -0.008305550681406022), ('OWG', 0.06596259782520907, -0.00729779039124264), ('YLF', 4.432752797074852e-05, 0.003457307490832879), ('CPM', 0.012839583529094867, -0.01665799062988021), ('TGI', 0.000569599923223116, -0.006487488415199121), ('MGW', -5.2143365449000704e-05, -0.007961321514907421), ('NTR', 0.001833862250881378, -0.002920317062995423), ('KKD', 0.0005435996880890333, -0.00931649593783109), ('JPN', 0.0006340168590141575, -0.020106211452632274), ('CGS', 0.004632672483533361, -0.03131908621960212), ('VOX', 0.0025918375356057868, -0.028406234288587292)]"
